id_video,fecha_recuperacion,fecha_publicacion,reproducciones,nombre_usuario,titulo,etiquetas,url_video,url_perfil
7404629303171861766,2024-12-02 12:47:39.499931,8-18,33.2K,leticiavetra,PARTE 3 | Como anotar sonhos no obsidian ,NaN,https://www.tiktok.com/@leticiavetra/video/7404629303171861766,https://www.tiktok.com/@leticiavetra
7327828269150047494,2024-12-02 12:47:39.511932,1-24,12.5K,alisson.bernardo,É lindo ver ele crescendo a cada dia ,#obsidian #estudantedemedicina #medicina #faculdade #estudar #universitario #VozDaIvete ,https://www.tiktok.com/@alisson.bernardo/video/7327828269150047494,https://www.tiktok.com/@alisson.bernardo
7443783488978816289,2024-12-02 12:47:39.522931,Hace 6 h,884,candastik5,Ubicación secreta para usar los anillos de obsidiana. ,#candastik5 #Gamer #Viral #GenshinImpact ,https://www.tiktok.com/@candastik5/video/7443783488978816289,https://www.tiktok.com/@candastik5
7394504756934364422,2024-12-02 12:47:39.534929,7-22,12.3K,richard_fd2021, con ,#dúo @Amatista del Sur #obsidian #cuarzos #quartz #cristales #crystals #minerales #minerals #gemas #gems #viral #fyp #tiktok ,https://www.tiktok.com/@richard_fd2021/video/7394504756934364422,https://www.tiktok.com/@richard_fd2021
7439946261450575159,2024-12-02 12:47:39.546948,11-21,26.5K,lazyguide,Purple Obsidian Ring And Crimson Obsidian Ring Location + Get 2 Sanctifying Exilirs✨ ,#genshin #GenshinImpact #fyp #guild #newmaps #tutorial #obsidian #xyzcba ,https://www.tiktok.com/@lazyguide/video/7439946261450575159,https://www.tiktok.com/@lazyguide
7357344413250637088,2024-12-02 12:47:39.558933,4-13,295.3K,devil000x,   Making an Obsidian Battle Axe ,#creatorsearchinsights #obsidian #obsidianknifemaking #battleaxe #vikingbattleaxe #makingdaedricbattleaxe #howtomakeanobsidianspear #makingaxe ,https://www.tiktok.com/@devil000x/video/7357344413250637088,https://www.tiktok.com/@devil000x
7340296449957154054,2024-12-02 12:47:39.570932,2-27,1175,nathalygura_adv,"Vim apresentar (para quem não conhece) uma otima ferramenta de estudos/ anotaçoes de trabalho, etc! O obsidian é maravilhoso ",#obsidian #ferramentadetrabalho #anotacoes #advogada #advocacia #advogadaprevidenciarista #estudante #corretordeimoveis ,https://www.tiktok.com/@nathalygura_adv/video/7340296449957154054,https://www.tiktok.com/@nathalygura_adv
7433429979653737734,2024-12-02 12:47:39.583943,11-4,200.1K,inspiracion.querid,YA CONOCES NUESTRO TRABAJO? 😏 ,#esculturadeobsidiana #hechoamano #obsidiana #handmade #obsidiancarving #Obsidiana #makitatools #mascaradeobsidiana #espejodeobsidiana ,https://www.tiktok.com/@inspiracion.querid/video/7433429979653737734,https://www.tiktok.com/@inspiracion.querid
7394595173239541038,2024-12-02 12:47:39.600951,7-22,28.9M,sharpal_us,"I admit your obsidian is tough and heat-resistant, but my SHARPAL DIAMOND Sharpening Stone won't back down either! 💎🔥🪨 ",#SHARPAL #SHARPAL162N #obsidian #amazing #wow #knife #sharpener #sharpening #diamond #minecraft #foryou #FYP ,https://www.tiktok.com/@sharpal_us/video/7394595173239541038,https://www.tiktok.com/@sharpal_us
7441713853521579320,2024-12-02 12:47:39.611931,Hace 4 día(s),46.7K,kailefra,obsidian farm | minecraft bedrock | Kailefra #minecraft #farm #fyp how to build an obsidian farm in minecraft bedrock,NaN,https://www.tiktok.com/@kailefra/video/7441713853521579320,https://www.tiktok.com/@kailefra
